[2026-01-11 14:24:27.454] [info] HikRobot's daemon thread started.
[2026-01-11 14:24:28.665] [warning] MV_CC_SetFloatValue("Gain", 20) failed: 0x80000102
[2026-01-11 14:24:28.681] [info] HikRobot's capture thread started.
[2026-01-11 14:24:29.041] [debug] see strange armor: big four
[2026-01-11 14:24:29.488] [debug] see strange armor: big four
[2026-01-11 14:24:29.995] [debug] see strange armor: big four
[2026-01-11 14:24:30.470] [debug] see strange armor: big four
[2026-01-11 14:24:30.504] [debug] see strange armor: big four
[2026-01-11 14:24:30.673] [debug] see strange armor: big four
[2026-01-11 14:24:30.741] [debug] see strange armor: big four
[2026-01-11 14:24:30.959] [debug] see strange armor: big four
[2026-01-11 14:24:31.027] [debug] see strange armor: big four
[2026-01-11 14:24:31.094] [debug] see strange armor: big four
[2026-01-11 14:24:31.163] [debug] see strange armor: big four
[2026-01-11 14:24:31.199] [debug] see strange armor: big four
[2026-01-11 14:24:31.269] [debug] see strange armor: big four
[2026-01-11 14:24:31.338] [debug] see strange armor: big four
[2026-01-11 14:24:31.373] [debug] see strange armor: big four
[2026-01-11 14:24:31.440] [debug] see strange armor: big four
[2026-01-11 14:24:31.474] [debug] see strange armor: big four
[2026-01-11 14:24:31.541] [debug] see strange armor: big four
[2026-01-11 14:24:31.575] [debug] see strange armor: big four
[2026-01-11 14:24:31.608] [debug] see strange armor: big four
[2026-01-11 14:24:31.674] [debug] see strange armor: big four
[2026-01-11 14:24:31.807] [debug] see strange armor: big four
[2026-01-11 14:24:31.841] [debug] see strange armor: big four
[2026-01-11 14:24:31.976] [debug] see strange armor: big four
[2026-01-11 14:24:32.518] [debug] see strange armor: big four
[2026-01-11 14:24:32.551] [debug] see strange armor: big four
[2026-01-11 14:24:32.788] [debug] see strange armor: big four
[2026-01-11 14:24:33.297] [debug] see strange armor: big four
[2026-01-11 14:24:33.402] [debug] see strange armor: big four
[2026-01-11 14:24:33.805] [debug] see strange armor: big four
[2026-01-11 14:24:39.040] [debug] see strange armor: big four
[2026-01-11 14:24:39.413] [debug] see strange armor: big four
[2026-01-11 14:24:39.446] [debug] see strange armor: big four
[2026-01-11 14:24:39.517] [debug] see strange armor: big four
[2026-01-11 14:24:39.991] [debug] see strange armor: big four
[2026-01-11 14:24:40.160] [debug] see strange armor: big four
[2026-01-11 14:24:40.363] [debug] see strange armor: big four
[2026-01-11 14:24:40.396] [debug] see strange armor: big four
[2026-01-11 14:24:40.535] [debug] see strange armor: big four
[2026-01-11 14:24:40.603] [debug] see strange armor: big four
[2026-01-11 14:24:40.806] [debug] see strange armor: big four
[2026-01-11 14:24:40.873] [debug] see strange armor: big four
[2026-01-11 14:24:40.943] [debug] see strange armor: big four
[2026-01-11 14:24:41.010] [debug] see strange armor: big four
[2026-01-11 14:24:41.176] [debug] see strange armor: big four
[2026-01-11 14:24:41.244] [debug] see strange armor: big four
[2026-01-11 14:24:41.345] [debug] see strange armor: big four
[2026-01-11 14:24:41.379] [debug] see strange armor: big four
[2026-01-11 14:24:41.519] [debug] see strange armor: big four
[2026-01-11 14:24:41.554] [debug] see strange armor: big four
[2026-01-11 14:24:42.125] [debug] see strange armor: big four
[2026-01-11 14:24:42.559] [debug] see strange armor: big four
[2026-01-11 14:24:43.435] [debug] see strange armor: big four
[2026-01-11 14:24:43.673] [debug] see strange armor: big four
[2026-01-11 14:24:44.248] [debug] see strange armor: big four
[2026-01-11 14:24:44.352] [debug] see strange armor: big four
[2026-01-11 14:24:44.587] [debug] see strange armor: big four
[2026-01-11 14:24:45.744] [debug] see strange armor: big four
[2026-01-11 14:24:46.018] [debug] see strange armor: big four
[2026-01-11 14:24:46.052] [debug] see strange armor: big four
[2026-01-11 14:24:46.761] [debug] see strange armor: big four
[2026-01-11 14:24:46.931] [debug] see strange armor: big four
[2026-01-11 14:24:46.965] [debug] see strange armor: big four
[2026-01-11 14:24:47.168] [debug] see strange armor: big four
[2026-01-11 14:24:47.347] [debug] see strange armor: big four
[2026-01-11 14:24:47.518] [debug] see strange armor: big four
[202
